Model,RMSE,MAE,MAPE,Accuracy (%)
Random Forest,42.27908572800419,30.39985795068518,12.818545026145623,87.18145497385437
XGBoost,41.110941324072826,28.998624720556634,12.171310355107476,87.82868964489252
ARIMA,50.77106224961066,44.47536426920567,21.77456253390064,78.22543746609936
SARIMA,57.01986960561052,51.634593660255696,25.07671991269452,74.92328008730547
LSTM,49.26073023405576,42.153582089740674,17.904917179326635,82.09508282067337
